ID	RT	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
30	1,8797	71,051	0	0	0	0	1,6911	0	0	0	0	0,17005	0,19705	0	1,0062	0	0	0,10135	0	0,3555	0,11665	0,7852	0	0	0	0	0	0,10485	2,11055	0	0,05475	0,07575	0	1,4572	0	0	0,80975	0	0	0	0,8054	0	0	0	0	0	0
31	2,4714	71,0512	0,7393	1,68045	0,92345	0,5179	0,49885	2,33475	1,4646	2,59515	0,9897	0,78015	0,72445	1,16385	0,45575	2,29875	0,6905	0,883	0	0,8978	0,8262	0,4444	1,5028	0,82365	2,718	0,89135	1,09355	0,8079	0,7536	2,45495	1,23285	0	0,6669	0	0,9641	0,8149	0,3962	1,17995	0,93615	0,5191	1,52855	0,92045	1,52715	1,5166	0,55795	0,5002	0,8533
32	2,9968	71,0514	2,73665	1,6742	0,9583	1,7765	1,6835	1,66865	2,52205	2,1704	1,78515	0,7658	2,25635	1,78215	0,7823	1,7874	0,95565	1,0215	0,333	1,0972	2,0217	0,71195	0,9996	0,87175	2,098	1,5139	2,5817	0,8046	2,0529	2,24565	0,92415	1,7553	2,3811	0	1,01805	0,89365	0,8183	1,8648	2,6861	2,0582	2,03865	2,2917	2,0417	2,0231	2,0331	0,8717	1,85415
33	2,5738	71,0516	0,82155	1,72235	1,1648	0	0	0	0,752	1,527	1,2681	1,21805	0,99275	1,22005	0,8973	1,2228	0,9448	1,1952	0	0,9278	1,05385	0	1,76195	0	0	0	0	1,05025	0,83155	1,2871	1,4985	0	0,90525	3,1163	0	1,051	0	1,53105	0,85815	0	0	1,30575	0	1,99815	0	0	1,30795
34	3,1386	71,0519	0	0	1,1868	0	0	0	0	0	0	1,2927	2,97415	0	0,96565	0	1,2347	1,5389	0	1,0723	1,2305	1,18995	1,0621	1,35145	0	0	0	1,0212	2,78175	0	1,0369	0	0	5,169	1,5136	1,16265	1,11565	0	0	0	0	0	0	0	0	1,12535	0
35	2,5969	72,0106	0	0	0	0	0	0	0	0	0	0	0	0	0,2585	0	0	0,1909	3,5703	0	0	0,3799	0	0,0655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,15455	0
36	1,1709	72,0188	1,8262	1,7138	1,89465	1,4998	1,66485	1,33125	1,7451	1,6446	1,7857	1,762	2,8309	1,73655	0,377	1,34885	1,66945	1,75225	1,9877	1,8102	1,4157	1,64065	1,69255	1,9025	1,83855	1,4802	1,77375	1,613	2,3605	1,77745	1,84925	1,49005	1,67665	3,1078	1,7538	1,88425	1,86765	1,7868	1,9161	1,5303	1,74795	1,90405	1,36265	1,67175	1,6823	1,70905	1,8058
37	4,1048	72,9939	3,00885	1,991	0,6314	2,1622	0	2,48265	2,18805	0	1,5597	0,6752	0	2,38385	0	1,57555	1,04025	0,5991	0	0,75345	2,25135	0,42535	1,09545	0,62425	1,36485	0,72065	2,64765	0,8113	0,51085	3,03915	0,80675	2,61455	1,9602	0	0,818	0,724	0	2,66425	0,7958	0,8955	1,508	1,5716	1,462	2,1674	3,1658	1,4885	1,43585
38	4,306	72,9939	4,68265	4,72825	2,86955	4,48815	4,2713	4,4319	4,1898	4,3719	4,43965	2,9126	1,90335	4,329	2,57175	4,7657	3,25625	2,6312	0	2,9154	4,4076	2,20645	3,30655	2,8727	4,55315	2,96355	4,0331	2,85225	1,0171	4,56535	3,1825	4,4865	4,86535	2,2663	3,2293	3,1056	2,71545	4,6273	4,89635	4,4332	4,8489	4,62785	4,8548	4,83195	4,58905	3,9917	4,09685
39	1,0834	72,9939	37,62875	35,23535	36,298	36,80405	33,2312	31,62395	34,42325	33,60685	37,5645	34,08545	37,2557	39,9972	35,3662	33,224	32,928	34,11125	24,2142	34,88995	34,16355	36,56	37,8013	35,2551	32,2183	29,4506	33,3842	36,9707	34,20895	38,0139	35,7193	33,682	38,2914	41,6334	37,14595	37,5527	40,13615	37,1755	35,08005	33,97235	37,74885	34,12525	33,14075	34,47075	39,17265	37,3121	33,0195
40	3,5094	72,9939	0,65055	0,56455	0,6218	1,40905	0,8738	1,2823	0,5533	0,69555	0	0	0	1,31525	0,23885	0,82895	0	0	0	0,47775	0,5547	0	0	0,44665	1,2368	1,05905	1,15485	0	0	1,4054	0,6002	0,84015	0,817	0	0,5563	0,6715	0,76215	1,33475	0,717	0,71225	0	0,75905	1,3636	0,4656	0,5724	0,4853	0,57005
41	3,6847	72,994	8,51885	7,4123	4,03485	7,9685	7,6264	7,45775	8,2205	7,893	7,91045	3,51615	0	7,843	3,3308	8,0849	4,051	3,7623	1,1386	3,90005	7,116	3,87765	3,7846	3,73975	7,76635	5,21885	7,17435	4,26605	0	7,9677	4,06055	7,8704	8,4843	0	4,18825	3,9885	4,174	8,6106	8,5063	7,7326	8,58005	7,78845	8,1637	7,5487	7,6927	3,8139	7,75855
