ID	m/z	1790_NEG_D4	1789_NEG_D4	1788_NEG_D4	1787_NEG_C1	1786_NEG_C1	1785_NEG_C2	1784_NEG_D4	1783_NEG_D4	1782_NEG_D4	1781_NEG_C2	1780_NEG_unknown	1779_NEG_C2	1778_NEG_C2	1777_NEG_D4	1776_NEG_D4	1775_NEG_C1	1774_NEG_C2	1773_NEG_C2	1772_NEG_D4	1771_NEG_D4	1770_NEG_C1	1769_NEG_C2	1768_NEG_C2	1767_NEG_C1	1765_NEG_D3	1764_NEG_D4	1763_NEG_D4	1762_NEG_D4	1760_NEG_D4	1759_NEG_D4	1758_NEG_D4	1757_NEG_D4	1756_NEG_C1	1755_NEG_D4	1754_NEG_D3	1753_NEG_C1	1752_NEG_C1	1751_NEG_D3	1750_NEG_D4	1749_NEG_D4	1748_NEG_D4	1747_NEG_D4	1746_NEG_C1	1745_NEG_D4	1744_NEG_D4	1743_NEG_D4	1742_NEG_C1	1741_NEG_D4	1740_NEG_C2	1739_NEG_D4	1738_NEG_C1
12431	429.1765914	165817080	159687220	118098940	137033050	108101480	57822138	40601391	48332903	98973092	52024691	133242570	68681597	91108885	113268460	193524490	143350670	88729081	109425400	147431000	200102150	133659180	124643880	70706217	64078093	250778620	132404980	350105920	69603613	197293020	245154860	173038960	297439870	91682373	145255380	301885320	126432630	302817350	95813742	238335600	182643850	324262570	78619768	61325689	106446670	75115005	77490060	205987820	35643601	76369034	24337122	219321220
12432	429.1788177	16374519	0	0	0	0	0	0	0	0	0	0	0	0	0	16319245	0	9741818.2	0	0	0	0	0	0	0	0	0	26562880	0	0	21865521	0	26325633	0	11465688	0	0	23908421	0	16569969	0	26757801	0	0	0	0	9590669.7	17690600	0	0	0	17097610
12433	429.188	9319679.3	9048637.6	6068741.2	0	0	6251201.8	0	0	5608876.5	0	6102481.3	0	0	0	7859475.5	0	6450432.1	6724868.2	0	0	0	9557552.6	0	0	0	9517819.3	8950085.9	0	0	8754232.2	9133946.8	13191817	0	0	18483083	0	8170059.9	0	7177591.7	9398933.7	8861356.1	5858944.5	0	0	0	0	0	0	14247057	0	6926223.9
12434	429.1952331	117549830	155238980	157797390	147256680	156688240	66198471	48095040	27447414	81388977	58406280	102424280	168873870	53691941	86116077	92820248	64973730	78759429	80765707	169918050	147542290	195811890	136145460	31280181	87793950	109720580	95532800	212496710	168378660	178811880	340591680	96460160	431674000	86787668	120548320	111355790	59487615	170655820	38918267	119780990	142199960	93715119	73208966	155955590	165281620	88754700	23603097	227106800	146112730	74509461	127931120	256922520
12436	429.2044374	0	21038665	9485839.8	0	0	0	8278855.5	6817405.4	10544568	11037587	0	0	0	13931248	11978526	0	0	6940947.2	35757671	0	0	0	0	0	0	0	9139025.1	0	0	9716806.2	11877766	31738518	0	11627496	0	0	21454935	0	0	0	0	5672589.4	0	0	0	0	0	0	9227419.1	0	29014939
12437	429.2083373	0	15186508	8462354.2	7414128.2	0	6419408.2	8269643.1	0	11937211	11883927	0	0	0	0	0	0	0	8749846.5	21073513	0	0	0	0	0	0	7134473.7	11139412	0	0	0	0	23827097	0	13255659	0	5120900.6	0	0	0	0	0	0	0	0	0	0	0	0	7142558	0	0
12439	429.2130198	306768660	426304080	207883290	171603320	124903290	191486930	204046160	107368580	323163580	378193310	289832680	151859100	145258040	288143090	318780200	58440625	149505550	240349980	750378600	205951270	125794880	182692420	223290430	85279021	541152270	324335370	356872530	238117170	308589560	292340810	273218960	813847200	91133539	417254380	357967770	194762120	490823770	165191820	315258510	148352170	358324920	218461330	102379930	141385570	85903898	70449062	361570300	113893600	219491490	269202170	681595810
12441	429.216505	0	0	0	0	0	0	0	0	0	11953569	0	0	0	9457395.2	0	0	0	0	23182958	0	0	0	0	0	0	0	0	0	0	0	0	24900255	0	14707696	0	0	0	0	0	0	0	0	0	0	0	0	14184445	0	0	10351352	22590371
12442	429.2493446	8438067.4	7539817.2	5495852.4	7521170.3	0	0	0	0	0	6081478.3	8716545.6	5649336.2	0	8203516.5	8431931.5	0	0	7646523.5	9010818.9	0	6465628.3	9271907.1	6154325.4	0	0	0	19626352	7215428.3	0	9282155.4	7533987.3	14875322	0	0	0	6964117.9	9385590.8	0	8669858.7	11762880	9888449.6	6898097	0	0	0	0	0	6049271.1	8030391.7	0	8026041.6
12456	429.9381544	0	0	0	0	0	0	0	0	0	0	6110491.5	5769447.7	0	0	8012022.1	0	0	5890465.7	0	0	0	0	0	0	0	0	7863611.1	0	0	9183908.5	0	8898263.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6094184.8	0	7859081
12460	429.989875	0	0	0	0	0	0	0	9965308.9	0	0	0	0	8052410.6	0	0	0	0	5564879.3	0	0	0	0	6937105.5	9623496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6315764.2	0	0	0	0	0	0	0	0	0
12461	430.0031643	0	0	7238153.7	0	5597325	11572716	0	0	0	0	8008525.6	11772444	21619909	10315211	9684255.2	0	8800252.4	7924698.9	0	0	7083102.7	9200837.6	17482265	10395603	0	6978367.7	38445926	15348442	0	0	6548874.2	6563593.8	0	0	0	5912395.2	0	7093929.3	7035052.1	9548983.7	24034245	0	0	0	6623368.9	0	19666345	55034488	10831505	0	0
12462	430.0156967	6954939.1	0	5374737.4	0	0	5869812.3	0	0	0	0	0	5712933.9	10443984	0	0	0	0	0	0	0	0	0	11141153	0	0	0	15894382	0	0	6306532.1	0	7559443.3	0	0	0	0	0	11291314	0	5726911.9	5743048.8	0	0	0	7136402.7	0	0	17593982	5999257.2	0	0
12463	430.0241438	0	0	6337559	0	0	5677050.1	18897431	0	0	0	0	5842476.6	8845526.7	7659472.7	0	0	8200201.5	0	0	0	7983212.9	17109207	7924773.8	0	0	9060686.4	8235379.3	6748900.7	0	0	0	0	0	0	0	0	0	0	0	0	8824267.6	0	0	0	5461145.2	0	0	6234498.3	0	0	0
12464	430.031221	13390280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9385407.3	0	0	0	0	19365423	0	0	0	28821042	6946032.8	0	0	0	0	0	0	0	0	0	0	0	18184980	8605741.8	24422607	0	10697178	0	7854725.8	0	0	0
12465	430.0540467	15180251	5468319.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19660679	0	0	8648451.4	0	0	0	24356342	33831366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12466	430.0650687	0	20068519	14177840	10167347	14531746	13202454	0	0	11535385	8359777	11446141	14710350	5380088.1	11706844	5835078	9853030.3	13528098	8055313.7	17574014	0	6277256.5	9700087.1	9273405.8	8919047.9	0	14731627	10430862	9766650.4	0	6248204.2	11313074	12358970	9010449.1	19315197	0	10087140	17845929	9940179.8	8492758.6	11136736	13792217	5765166.4	10195529	0	0	0	0	0	12135096	9201854.9	11962846
12468	430.1072768	0	0	12560971	13276245	0	9786930	0	7974492	9647670.2	0	8346013.8	6399087.5	0	0	13866337	8902280.2	8501820.1	0	0	14199804	0	0	6186582.6	13223979	0	11848585	9157545.8	5460240.9	0	14001967	21955532	9487706.3	5641522.7	0	20985321	7495925.1	12373701	7877360.5	8726771.3	10106108	14822375	17602383	8682602.9	0	0	12638734	0	0	0	0	7927033.3
